,regional_geocode,geocode
0,42011,4208450
1,42011,4216206
2,42008,4218509
3,42014,4216404
4,42011,4201307
5,42013,4204178
6,42004,4219358
7,42001,4206405
8,42010,4207700
9,42008,4203907
10,42009,4205555
11,42004,4215679
12,42006,4215109
13,43003,4316972
14,43016,4307203
15,43016,4322905
16,43007,4319901
17,43008,4319356
18,43004,4323804
19,43014,4315073
20,43015,4313441
21,43017,4323200
22,43005,4313508
23,43011,4307831
24,43020,4316105
25,43017,4314100
26,43015,4314704
27,43025,4323606
28,43014,4320321
29,43029,4318465
30,43020,4319364
31,43026,4313359
32,43029,4312054
33,43020,4309126
34,43015,4323101
35,43029,4319711
36,43013,4319737
37,43028,4316808
38,43023,4314423
39,43026,4313086
40,43021,4312450
41,43007,4311627
42,43005,4310330
43,43030,4307807
44,43025,4307864
45,43029,4304614
46,43020,4312955
47,43023,4311643
48,43016,4308904
49,43011,4318002
50,43017,4311809
51,43013,4302584
52,43021,4314209
53,43021,4317004
54,43016,4312708
55,43012,4306106
56,43015,4321329
57,43014,4318499
58,43003,4318309
59,43015,4314456
60,43015,4313805
61,43016,4308250
62,43008,4302659
63,43003,4301875
64,43006,4321204
65,43018,4320909
66,43001,4319125
67,43026,4319000
68,43014,4317905
69,43009,4311981
70,43003,4311759
71,43015,4311601
72,43009,4309308
73,43025,4309258
74,43018,4323358
75,43019,4321006
76,43018,4304952
77,43021,4304663
78,43028,4322707
79,43019,4320800
80,43001,4319604
81,43001,4319406
82,43011,4317707
83,43003,4317103
84,43011,4317509
85,43018,4316600
86,43021,4318507
87,43027,4313391
88,43021,4315602
89,43010,4323002
90,43006,4315750
91,43013,4313904
92,43024,4311122
93,43012,4310876
94,43002,4310553
95,43016,4310462
96,43013,4310207
97,43013,4306007
98,43017,4304705
99,43019,4304101
100,43027,4302808
101,43029,4302451
102,43016,4300901
103,43015,4323705
104,43001,4323457
105,43025,4323309
106,43029,4322855
107,43017,4322558
108,43024,4322509
109,43002,4322376
110,43018,4322186
111,43014,4322103
112,43019,4312427
113,43007,4312476
114,43025,4312807
115,43023,4313201
116,43025,4314001
117,43007,4313409
118,43020,4313466
119,43016,4314134
120,43025,4314548
121,43007,4315149
122,43020,4315404
123,43029,4315453
124,43020,4316428
125,43018,4316733
126,43001,4316907
127,43025,4317251
128,43017,4318051
129,43006,4318200
130,43009,4318408
131,43001,4318432
132,43007,4318481
133,43018,4318606
134,43024,4318622
135,43014,4319307
136,43026,4319752
137,43008,4319505
138,43008,4320008
139,43009,4320354
140,43016,4320602
141,43005,4321352
142,43001,4320651
143,43008,4320859
144,43011,4322343
145,43004,4321436
146,43015,4321477
147,43014,4321808
148,50001,5005400
149,50003,5000807
150,50003,5005681
151,50001,5007695
152,50001,5006275
153,50003,5007703
154,50003,5007208
155,51014,5106224
156,51013,5105200
157,51013,5104203
158,51004,5105903
159,51013,5107792
160,51002,5108402
161,51004,5100508
162,51009,5100359
